broker,label,payload_bytes,rate,duration_sec,producer_duration_sec,sent,received,send_errors,recv_errors,lost,avg_ms,p95_ms,max_ms,recv_msg_per_sec,sent_msg_per_sec,backlog
rabbitmq,Basic 1KB @1k/s,1024,1000,20.0,20.011,1840,1840,0,0,0,12.5,37.0,528.0,91.9,91.9,0
redis,Basic 1KB @1k/s,1024,1000,20.0,20.05,13331,13331,0,0,0,67.4,228.5,383.2,664.9,664.9,
rabbitmq,128B @1k/s,128,1000,15.0,15.013,2261,2261,0,0,0,8.3,16.6,167.0,150.6,150.6,0
redis,128B @1k/s,128,1000,15.0,15.01,11900,11900,0,0,0,32.1,99.3,160.2,792.8,792.8,
rabbitmq,1KB @1k/s,1024,1000,15.0,15.023,2812,2812,0,0,0,6.8,13.2,129.9,187.2,187.2,0
redis,1KB @1k/s,1024,1000,15.0,15.008,8100,8100,0,0,0,100.1,283.9,686.8,539.7,539.7,
rabbitmq,10KB @1k/s,10240,1000,15.0,15.007,1418,1418,0,0,0,13.5,39.0,181.8,94.5,94.5,0
redis,10KB @1k/s,10240,1000,15.0,15.824,5100,5100,0,0,0,182.9,309.7,998.4,322.3,322.3,
rabbitmq,100KB @1k/s,102400,1000,15.0,15.029,522,522,0,0,0,37.5,71.4,279.0,34.7,34.7,0
redis,100KB @1k/s,102400,1000,15.0,15.681,400,400,0,0,0,2715.9,6280.1,6304.8,25.5,25.5,
rabbitmq,1KB @1000/s,1024,1000,15.0,15.026,1859,1859,0,0,0,9.7,26.7,161.4,123.7,123.7,0
redis,1KB @1000/s,1024,1000,15.0,15.179,11050,11050,0,0,0,55.3,138.8,334.9,728.0,728.0,
rabbitmq,1KB @5000/s,1024,5000,15.0,15.001,2653,2653,0,0,0,7.3,14.1,91.3,176.9,176.9,0
redis,1KB @5000/s,1024,5000,15.0,15.093,19250,19250,0,0,0,265.2,771.4,1113.3,1275.4,1275.4,
rabbitmq,1KB @10000/s,1024,10000,15.0,15.002,1846,1846,0,0,0,9.8,32.7,143.2,123.1,123.1,0
redis,1KB @10000/s,1024,10000,15.0,15.127,22000,22000,0,0,0,462.0,1097.7,1909.1,1454.4,1454.4,
rabbitmq,1KB @20000/s,1024,20000,15.0,15.009,1746,1746,0,0,0,10.4,26.6,80.3,116.3,116.3,0
redis,1KB @20000/s,1024,20000,15.0,15.037,11500,11500,0,0,0,843.8,1762.8,2105.8,764.8,764.8,
rabbitmq,1KB @MAX/s,1024,0,15.0,15.013,1824,1824,0,0,0,9.9,23.8,109.1,121.5,121.5,0
redis,1KB @MAX/s,1024,0,15.0,15.422,20500,20500,0,0,0,507.9,1081.2,1275.6,1329.3,1329.3,
