broker,payload_bytes,rate,duration_sec,sent,received,send_errors,recv_errors,avg_ms,p95_ms,max_ms,recv_msg_per_sec,sent_msg_per_sec,backlog
rabbitmq,128,1000,10.0,6904,6744,0,0,7771.904542067023,12902.494845,13141.9901,674.4,690.4,160
rabbitmq,128,5000,10.0,4709,4539,504,0,9948.24741132408,17399.81332,17799.9928,453.9,470.9,0
rabbitmq,128,10000,10.0,7782,7722,0,0,7508.69136058016,12194.866274999998,12550.1203,772.2,778.2,0
rabbitmq,1024,1000,10.0,6563,6925,0,0,8361.926935566788,12036.4966,12504.2686,692.5,656.3,0
rabbitmq,1024,5000,10.0,6622,6683,819,0,8469.757415247645,14119.44257,14498.156,668.3,662.2,120
rabbitmq,1024,10000,10.0,6852,7330,364,0,9763.982602523874,14920.66346,15354.9813,733.0,685.2,0
rabbitmq,10240,1000,10.0,2752,5202,2750,0,8114.864379315647,16894.11814,18246.9201,520.2,275.2,0
rabbitmq,10240,5000,10.0,2725,2501,2443,0,12516.54397964814,18712.4325,22985.2129,250.1,272.5,60
rabbitmq,10240,10000,10.0,2457,2180,2914,0,11877.876869908258,20078.48508499999,21874.5092,218.0,245.7,0
rabbitmq,102400,1000,10.0,164,659,1793,0,19447.920214871014,23000.32024,23377.7457,65.9,16.4,2
rabbitmq,102400,5000,10.0,196,192,1546,0,16891.002511979164,21949.824099999998,22863.5362,19.2,19.6,3
rabbitmq,102400,10000,10.0,196,186,1010,0,17293.510073655914,21762.906825,22577.9271,18.6,19.6,4
redis,128,1000,10.0,9992,9992,0,0,718.1495068254604,1027.3390949999998,1088.8384,999.2,999.2,0
redis,128,5000,10.0,11444,11444,0,0,3918.549146295002,6033.32806,6329.3813,1144.4,1144.4,0
redis,128,10000,10.0,15542,15542,0,0,2907.607360069489,4252.756635000001,4358.1234,1554.2,1554.2,0
redis,1024,1000,10.0,9642,12551,0,0,3072.9701266911,6413.80385,7181.1115,1255.1,964.2,23
redis,1024,5000,10.0,10196,9749,0,0,5088.4334029849215,7189.49272,7605.0858,974.9,1019.6,0
redis,1024,10000,10.0,10262,9962,0,0,4542.674689108612,6003.65152,6391.0872,996.2,1026.2,0
redis,10240,1000,10.0,6302,7816,764,0,6545.398301215455,12576.389149999999,13174.853,781.6,630.2,0
redis,10240,5000,10.0,5147,6968,532,0,8952.174832878874,13343.94427,14155.0191,696.8,514.7,0
redis,10240,10000,10.0,5449,6146,550,0,7731.320737325089,12724.9172,13443.3664,614.6,544.9,12
redis,102400,1000,10.0,533,887,1107,0,16019.037701127396,20177.565929999997,20564.222,88.7,53.3,0
redis,102400,5000,10.0,392,2009,1267,0,14731.87693529119,20210.88496,21608.3063,200.9,39.2,0
redis,102400,10000,10.0,472,833,1360,0,17701.127987755102,21775.68,21979.6747,83.3,47.2,0
