broker,payload_bytes,rate,duration_sec,sent,received,send_errors,recv_errors,avg_ms,p95_ms,max_ms,recv_msg_per_sec,sent_msg_per_sec,backlog
rabbitmq,128,1000,10.0,7129,7129,0,0,6866.7812732781595,10114.79136,10257.1179,712.9,712.9,0
rabbitmq,128,5000,10.0,7647,7647,0,0,7616.054620596313,10586.50664,10705.8806,764.7,764.7,0
rabbitmq,128,10000,10.0,7842,7831,12,0,7729.252972966416,10719.986,10869.7496,783.1,784.2,12
rabbitmq,1024,1000,10.0,7312,7269,0,0,6743.621575760078,10471.220680000002,10579.0918,726.9,731.2,44
rabbitmq,1024,5000,10.0,7070,6975,248,0,8137.041280616488,11347.030149999999,11691.5269,697.5,707.0,96
rabbitmq,1024,10000,10.0,7250,7204,159,0,8124.959130552471,11229.304465,11333.0009,720.4,725.0,47
rabbitmq,10240,1000,10.0,3960,3570,1832,0,9415.599859915967,15735.302304999997,16431.5932,357.0,396.0,32
rabbitmq,10240,5000,10.0,3946,3835,1754,0,11766.338361043025,20027.576839999998,20503.0128,383.5,394.6,58
rabbitmq,10240,10000,10.0,3976,3798,1943,0,10798.318809662982,21347.420205,21759.7336,379.8,397.6,37
rabbitmq,102400,1000,10.0,289,534,2401,0,22489.747373595506,29710.70163,29734.1126,53.4,28.9,4
rabbitmq,102400,5000,10.0,300,286,2865,0,15930.111743006992,29823.9771,29960.9929,28.6,30.0,5
rabbitmq,102400,10000,10.0,243,230,2977,0,17242.997657826087,29522.86893,29729.4646,23.0,24.3,5
redis,128,1000,10.0,9998,2446,0,0,13168.323432502044,17314.111025,17640.8277,244.6,999.8,9998
redis,128,5000,10.0,10260,2896,0,0,15170.943140400554,19484.276374999998,19821.9996,289.6,1026.0,10260
redis,128,10000,10.0,14399,3631,0,0,14449.789358689066,19344.019849999997,19778.4559,363.1,1439.9,14399
redis,1024,1000,10.0,9999,3248,0,0,12949.77158395936,17059.492079999996,17307.3496,324.8,999.9,9999
redis,1024,5000,10.0,12138,3309,0,0,14688.763590722272,19147.54136,19536.1698,330.9,1213.8,12138
redis,1024,10000,10.0,11277,1727,0,0,14995.4550044586,20093.61195,20283.4034,172.7,1127.7,11277
redis,10240,1000,10.0,7582,858,0,0,13562.696623193473,19789.70196,19868.39,85.8,758.2,7582
redis,10240,5000,10.0,7498,1377,0,0,15174.65555620915,19909.820460000003,20080.6323,137.7,749.8,7498
redis,10240,10000,10.0,7369,1264,0,0,15014.371830063292,20057.248939999998,20208.5298,126.4,736.9,7369
redis,102400,1000,10.0,548,83,2933,0,16859.721790361444,20247.23527,20273.6252,8.3,54.8,568
redis,102400,5000,10.0,666,257,2716,0,20566.22262684825,22122.91258,22167.3383,25.7,66.6,686
redis,102400,10000,10.0,632,235,2650,0,19695.288407659573,21067.19262,21109.9189,23.5,63.2,652
